
vinc,vict|胜，征服
equate,i'kweɪt,v. 同等看待；等同；使相等
equator,ɪ'kweɪtə(r),n. 赤道
equation,ɪ'kweɪʒn,n. 相等；均衡；方程式；等式
equatorial,ˌekwə'tɔːriəl,adj. 近赤道的；赤道的；酷热的
adequate,'ædɪkwət,adj. 足够的；适当的；能胜任的
adequately,'ædɪkwətli,adv. 足够地；充分地；适当地
inadequate,ɪn'ædɪkwət,adj. 不适当的；不充分的
inadequately,ɪn'ædɪkwətli,adv. 不够地；不够好地
adequacy,'ædɪkwəsi,n. 足够；适当
inadequacy,ɪn'ædɪkwəsi,n. 不充分；不足；不胜任；缺乏信心；缺陷
equable,'ekwəbl,adj. 性情温和的；变动小的
equably,'ekwəbli,adv. 均等地；均一地；均匀地
equability,ˌekwə'bɪlɪtɪ,n. 平静；无变动
equivocal,ɪ'kwɪvəkl,adj. 模棱两可的；意义不明确的
unequivocal,ˌʌnɪ'kwɪvəkl,adj. 不含糊的；明白的；确实的
equivocally,ɪ'kwɪvəkəlɪ,adv. 含糊地；可疑地；模棱两可地
unequivocally,ˌʌnɪ'kwɪvəkl,adj. 不含糊的；明白的；确实的
equivocate,ɪ'kwɪvəkeɪt,vi. 说模棱两可的话；支吾其词
equivocation,ɪˌkwɪvə'keɪʃn,n. 模糊话；含糊其辞
equivalent,ɪ'kwɪvələnt,adj. 等价的 相等的 n. 相等物
equivalence,ɪ'kwɪvələns,n. 相等；等值
equivalency,ɪ'kwɪvələnsɪ,n. 等效性；均等；相当
equivalently,ɪk'wɪvələntlɪ,adv. 相等地；对等地
nonequivalent,'nɒnɪ'kwɪvələnt,adj. 非等效的
equity,'ekwəti,n. 公平；公正 n. 衡平法；权益；产权；(无固定利息的)股票
inequity,ɪn'ekwəti,n. 不公平；不公正
equitable,'ekwɪtəbl,adj. 公平的；公正的
equitably,'ekwɪtəbli,adv. 公平地
inequitable,ɪn'ekwɪtəbl,adj. 不公平的；不公正的
inequitably,ɪn'ekwɪtəbl,adj. 不公平的；不公正的
debt-equity,det-'ekwɪtɪ,n .债务股本
debt-to-equity,'dett'ə'ekwɪtɪ,债转股
home-equity,həʊm-'ekwɪtɪ,n.房屋净值；房屋净值贷款；资产净值
private-equity,p'raɪvɪt'ekwɪtɪ,n. 私人股权
iniquity,ɪ'nɪkwəti,n. 邪恶；不公正；罪行
iniquitous,ɪ'nɪkwɪtəs,adj. 不正的；不法的；邪恶的
equidistant,ˌiːkwɪ'dɪstənt,adj. 等距离的
equidistance,'iːkwɪ'dɪstəns,n. 等距离
equilibrate,ˌiːkwɪ'laɪbreɪt,v. （使）平衡；相称
equilibrium,ˌiːkwɪ'lɪbriəm,n. 平衡；均衡；平静
disequilibrium,ˌdɪsˌiːkwɪ'lɪbriəm,n. 不均衡；不安定
equinox,'iːkwɪnɒks,n. 昼夜平分点；春分或秋分
equipoise,'iːkwɪpɔɪz,n. 平衡；平衡力；均衡 vt. 使平衡
equilateral,ˌiːkwɪ'lætərəl,adj. 等边的；等面的
equiangular,ˌiːkwɪ'æŋgjʊlə,adj. 等角的
equanimity,ˌekwə'nɪməti,n. 平静；镇定

rot|轮，转
rote,rəʊt,n. 死记硬背；机械的做法 adj. 死记硬背的；机械的
rotor,'rəʊtə(r),n. 旋转体；[机]转子；水平旋翼
rotary,'rəʊtəri,adj. 旋转的 n. 旋转式机器；环形交叉路
n.旋转式机器；,动力,转缸式发动机（复数rotaries ）
rototiller,'rotə,tɪlɚ,旋耕机商标名, 旋转碎土器商标名,[rototiller ]旋耕机, 旋转碎土器
rotorcraft,'rəʊtəkrɑːft,n. 旋翼飞行器(旋翼机)
rotate,rəʊ'teɪt,v. 轮流；(使)旋转 adj. 车轮状的
rotated,rəʊ'teɪt,v. 轮流；(使)旋转 adj. 车轮状的
rotator,'rəʊteɪtə,n. 旋转的人（物）；旋转体；[解]旋转肌
rotating,rəʊ'teɪtɪŋ,adj. 旋转的 动词rotate的现在分词.
rotative,'rəʊtətɪv,adj. 回转的；循环的
rotatory,rəʊ'teɪtərɪ,adj. 回转的；使回转的；轮流的
rotation,rəʊ'teɪʃn,n. 旋转；循环
rotational,rəʊ'teɪʃənl,adj. 回转的；轮流的
rotatable,rəʊ'teɪtəbl,adj. 可旋转的；可循环的
rotator-cuff,rə(ʊ)'teɪtə-kʌf,n .旋转套
counter-rotating,'kaʊntərr'əʊteɪtɪŋ,反向旋转
rotund,rəʊ'tʌnd,adj. (指人)圆胖的；(声音)洪亮的
rotunda,rəʊ'tʌndə,n. 圆形建筑；圆形大厅
rotundity,rəu'tʌndəti,n. 球状；肥胖；(声音)洪亮；(文体等)浮夸铺张
subrotund,suːbrəʊ'tʌnd,近圆形的
circumrotate,ˌsɜːkəm'rəʊteɪt,v. 旋转；循环
circumrotatary,sə:kəm’rəuteitəri,adj.周转的，回转的

viol|力，暴力
violent,'vaɪələnt,adj. 猛烈的；强烈的；暴力的；极端的
violently,'vaɪələntli,adv. 猛烈地；强烈地；暴力地
violence,'vaɪələns,n. 猛烈；暴力；暴行；强暴
nonviolence,'nɒn'vaɪələns,n. 非暴力事件；非暴力
nonviolent,ˌnɒn'vaɪələnt,adj. 非暴力的
nonviolently,nɒn'vaɪələntlɪ,adv. 非暴力地
anti-violence,'æntɪ-'vaɪəl(ə)ns,n .反对暴力
violence-prone,'vaɪəl(ə)ns-prəʊn,adj.有暴力倾向的
ultra-violent,'ʌltrə-'vaɪəl(ə)nt,adj.极端暴力的
violate,'vaɪəleɪt,v. 侵犯；违反；扰乱；亵渎；强奸
violated,'vaɪəleɪt,v. 侵犯；违反；扰乱；亵渎；强奸
violator,'vaɪəleɪtə(r),n. 违反者；违背者；妨害者
violation,ˌvaɪə'leɪʃn,n. 违反；违背；妨碍
violative,'vaɪəleɪtɪv,adj. 违反的；违背的；违犯的
violable,'vaɪələbl,adj. 可犯的；可破坏的；可亵渎的
inviolable,ɪn'vaɪələbl,adj. 不可侵犯的；不可亵渎的
inviolability,ɪnˌvaɪələ'bɪləti,n. 神圣；不可侵犯

rupt|破
erupt,ɪ'rʌpt,v. 爆发；喷发；发疹
eruption,ɪ'rʌpʃn,n. 爆发；喷发；出疹；长牙
eruptive,ɪ'rʌptɪv,adj. 爆发的；喷发的；喷火的
erupting,ɪ'rʌpt,v. 爆发；喷发；发疹
interrupt,ˌɪntə'rʌpt,v. 打断；打扰；中断；阻碍 n. [计算机]中断
interrupter,ˌɪnte'rʌptər,n. 遮断者；阻碍者；断续器 =interruptor.
interruption,ˌɪntə'rʌpʃn,n. 打岔；中断
interrupted,ˌɪntə'rʌptɪd,adj. 中断的 动词interrupt的过去式和过去分词.
uninterrupted,ˌʌnˌɪntə'rʌptɪd,adj. 不中断的；不停的；未受干扰的
interruptible,ˌɪntə'rʌpt,v. 打断；打扰；中断；阻碍 n. [计算机]中断
uninterruptedly,'ʌnɪntə'rʌptɪdlɪ,adv. 不间断地；持续地
corrupt,kə'rʌpt,adj. 腐败的；堕落的；讹误的 vt. 贿赂；使恶化；使腐烂 vi. 腐败；腐烂
incorrupt,ˌɪnkə'rʌpt,adj. 未沾污的(无差错的；无改动的)
corruptly,kə'rʌptli,adv. 腐败(堕落)地；可被收买的
corrupting,kə'rʌpt,adj. 腐败的；堕落的；讹误的 vt. 贿赂；使恶化；使腐烂 vi. 腐败；腐烂
corruption,kə'rʌpʃn,n. 贪污；堕落；腐败
corruptive,kə'rʌptɪv,adj. 使腐败的；腐败性的；引起堕落的
corrupted,kə'rʌptɪd,adj. 毁坏的 动词corrupt的过去式和过去分词.
uncorrupted,'ʌnkə'rʌptɪd,adj. 未腐败的；未堕落的；未被收买的
corruptible,kə'rʌptəbl,adj. 易腐败的；易堕落的；易腐蚀的
incorruptible,ˌɪnkə'rʌptəbl,adj. （道德上）不受腐蚀的（如不受贿）；不可摧毁的
incorruptibility,ˌɪnkəˌrʌptə'bɪləti,n. 不腐败；不能收买；清廉
anti-corruption,'æntiːkər'ʌpʃn,反贪污；反腐败
disrupt,dɪs'rʌpt,vt. 干扰；打断；妨碍；使分裂；使破裂
disruption,dɪs'rʌpʃn,n. 分裂；破裂；毁坏
disrupted,dɪs'rʌpt,vt. 干扰；打断；妨碍；使分裂；使破裂
disrupter,dɪs'rʌpt,vt. 干扰；打断；妨碍；使分裂；使破裂
disruptor,dɪs'rʌpt,vt. 干扰；打断；妨碍；使分裂；使破裂
disruptive,dɪs'rʌptɪv,adj. 分裂的；破坏性的；制造混乱的
disruptiveness,dɪs'rʌptɪvnɪs,n. 破裂性(分裂)
irrupt,ɪ'rʌpt,vi. 突然冲入；剧增
irruption,ɪ'rʌpʃn,n. 突然冲入
irruptive,ɪ'rʌptɪv,adj. 突入的；冲入的；穿入的
bankrupt,'bæŋkrʌpt,adj. 破产的；道德败坏的；枯竭的 n. 破产者；无知的人 vt. 使破产
bankruptcy,'bæŋkrʌptsi,n. 破产；倒闭
now-bankrupt,naʊ-'bæŋkrʌpt,ad j.现在已经破产的
abrupt,ə'brʌpt,adj. 突然的；唐突的；意外的；陡峭的
abruptly,ə'brʌptli,adv. 突然地；莽撞地；陡峭地；不连贯地
abruptness,ə'brʌptnəs,n. 突然；唐突
rupture,'rʌptʃə(r),n. 破裂；断裂；[医]疝气 v. （使）破裂
ruptured,'rʌptʃəd,adj. 破裂的 动词rupture的过去式和过去分词.

terr|惊吓
terrify,'terɪfaɪ,v. 使害怕；使恐怖；威胁
terrifying,'terɪfaɪŋ,adj. 可怕的 动词terrify的现在分词.
terrifyingly,'terifaiiŋli,adv. 恐怖地
terrified,'terɪfaɪd,adj. 恐惧的；受惊吓的 动词terrify的过去式和过去分词
terrific,tə'rɪfɪk,adj. 可怕的；极好的；非常的；危险的
terrifically,tə'rɪfɪkli,adv. 非常地；极端地；可怕地
terrible,'terəbl,adj. 可怕的；极度的；糟糕的
terribly,'terəbli,adv. 可怕地；非常地；很
terror,'terə(r),n. 恐怖；惊骇；令人惧怕或讨厌的人或事物
anti-terror,'æntiːt'erər,adj. 反恐
terrorism,'terərɪzəm,n. 恐怖主义；恐怖行动
antiterrorism,æntaɪ'terərɪzəm,反恐怖主义
bioterrorism,ˌbaɪəʊ'terəˌrɪzəm,n. 生物恐怖主义
counterterrorism,'kaʊntəˌterərɪzəm,反暴力主义
cyberterrorism,saɪbə'terərɪzəm,网络恐怖主义
terrorist,'terərɪst,n. 恐怖分子 adj. 恐怖主义的
terroristic,ˌterə'rɪstɪk,adj. terrorism 的；暴力主义的
anti-terrorist,'æntiːt'erərɪst,adj. 反恐
counter-terrorist,'kaʊntərt'erərɪst,n. 反恐怖专家；adj
terrorize,'terəraɪz,v. 令人恐怖；实施恐怖统治
terrorized,'terəraɪz,v. 令人恐怖；实施恐怖统治
terrorization,terəraɪ'zeɪʃən,n. 实行恐怖统治
deter,dɪ'tɜː(r),vt. 阻止；威慑；威吓
determent,dɪ'tɜːmənt,n. 制止
deterrent,dɪ'terənt,adj. 威慑的 n. 威慑物；妨碍物，障碍
deterrence,dɪ'terəns,n. 制止；妨碍物；威慑
undeterred,ˌʌndɪ'tɜːd,adj. 未受阻的；未受挫折的

damn,demn|惩罚，伤害
damn,dæm,int. 该死；讨厌 vt. 使失败；诅咒；批评 vi. 诅咒 n. 诅咒；丝毫 adj. 该死的；可恶的 adv. 非常；极其
damnify,'dæmnɪfaɪ,v. 损伤
damning,'dæmɪŋ,adj. 定罪的；强烈反对的；诅咒的；咒骂的 动词damn的现在分词.
damned,dæmd,adj. 被诅咒的；该死的；可恶的 adv. 非常地 n. 被诅咒下地狱的人 动词damn的过去式和过去分词形式
damnation,dæm'neɪʃn,n. 非难；被罚下地狱；诅咒 int. 糟了! 该死! 完了！
damnedest,'dæmdɪst,n. 最大的努力
damnable,'dæmnəbl,adj. 可诅咒的；该死的
damnably,'dæmnəbli,adv. 可恨地；厉害地
goddamn,'gɒd'dæm,adj. 受诅咒的；讨厌的；该死的
goddamned,'ɡɒddæmd,adj. 咀咒的；该死的
damage,'dæmɪdʒ,n. 损害；损失；毁坏 vt. 损害；毁坏
damageable,'dæmɪdʒeɪbl,adj. 易损害的
endamage,en'dæmɪdʒ,vt.使损坏；使受伤害
condemn,kən'dem,vt. 谴责；判刑
condemned,kən'demd,adj. 被责难的；被宣告有罪的 动词condemn的过去式和过去分词.
condemnable,kən'demnəbl,adj. 该受责备的；可非难的；该罚的
condemnation,ˌkɒndem'neɪʃn,n. 谴责；非难；定罪；宣布有罪
condemnatory,kən'demnəˌtɔːrɪ,adj. 非难的；谴责的；处罚的
indemnify,ɪn'demnɪfaɪ,v. 赔偿；补偿；保护；保障
indemnification,ɪnˌdemnɪfɪ'keɪʃn,n. 赔偿；赔偿金
indemnity,ɪn'demnəti,n. 保证；赔偿；保险

camp|田野，场所
camp,kæmp,n. 野营；帐篷；营地 v. 宿营；露营；扎营
camper,'kæmpə(r),n. 野营者
camping,'kæmpɪŋ,n. 野营；露营
campus,'kæmpəs,n. 校园；场地 adj. 校园的
campus-like,kæmp-laɪk,adj .像校园的
campus-wide,kæmp-waɪd,adj.跨校园的
campus-based,kæmp-beɪst,adj.基于 ( 大学 ) 校园的
on-campus,'ənk'æmpəs,adj. 在校的；到学校
off-campus,'ɔːfk'æmpəs,adj. 校外的
campfire,'kæmpfaɪə(r),n. 营火；篝火；篝火晚会
campsite,'kæmpsaɪt,n. 露营地
campground,'kæmpɡraʊnd,n. 野营地；露营场所
campesino,ˌkɑːmpeɪ'siːnəʊ,n. 农夫；农业工人
aide-de-camp,ˌeɪddə'kɒ̃,n. 副官；侍从武官
campo,'kæmpəʊ,n. 南美草原
camp-out,'kæmpaʊt,n. 野营；露营生活
encamp,ɪn'kæmp,v. 宿营；扎营；露营
encampment,ɪn'kæmpmənt,n. 设营；野营；扎营；营地
decamp,dɪ'kæmp,v. (士兵)离营；匆忙秘密地离开
decampment,dɪ'kæmpmənt,n. 撤营
campaign,kæm'peɪn,n. 运动；战役；活动；竞选运动 v. 参加竞选；从事运动
campaigner,kæm'peɪnə(r),n. 从军者；出征者；社会运动人士
champion,'tʃæmpiən,n. 拥护者；冠军；优胜者；勇士 vt. 拥护；保卫；为 ... 而斗争
chamber,'tʃeɪmbə(r),n. 室；会议厅；房间 adj. 【音】室内的，小型的；私人的，秘密的
champagne,ʃæm'peɪn,n. 香槟酒；香槟色
hippocampus,ˌhɪpə'kæmpəs,n. （希腊神化中的）马头鱼尾的怪兽；海马
hippocampal,ˌhɪpə'kæmpəl,adj. 海马趾的

cast|投掷
cast,kɑːst,v. 掷；抛；投；铸造；指定演员；加起来；投射(目光)；投(票)；预测 n. 演员阵容；投掷；[医]固定用敷料
n.投掷，抛；铸件，,古生,铸型；演员阵容；脱落物
casting,'kɑːstɪŋ,n. 选演员；投掷；铸造 动词cast的现在分词.
caster,'kɑːstə(r),n. 投掷者；投掷物；脚轮；调味瓶；施法者；铸造者
broadcast,'brɔːdkɑːst,v. 广播；散布；撒播 n. 广播；广播节目
recast,ˌriː'kɑːst,v. 改动；改变演员阵容；重铸；重作 n. 重铸；改变角色
recasting,riː'kɑːstɪŋ,重浇铸,重铸
newscast,'njuːzkɑːst,n. 新闻广播
newscaster,'njuːzkɑːstə(r),n. 新闻广播员；新闻评论广播员
overcast,ˌəʊvə'kɑːst,adj. 阴天的；阴暗的；愁闷的 v. 遮盖；（使）变暗；包边缝 n. 覆盖；阴天
outcast,'aʊtkɑːst,n. 被驱逐的人 adj. 被逐出的；被遗弃的；无家可归的
downcast,'daʊnkɑːst,adj. 气馁的；悲哀的；垂下的
podcast,'pɒdkɑːst,n. 播客 v. 发表博客
typecast,'taɪpkɑːst,v. 使不断扮演同一角色
webcast,'webkɑːst,n. 网上节目
precast,ˌpriː'kɑːst,v. 预浇铸；预制 adj. 预浇铸的；预制的
miscast,ˌmɪs'kɑːst,v. 指配不适当的角色；角色分配不适当
castaway,'kɑːstəweɪ,adj. 被抛弃的；遭难的 n. 坐船遇难者；被抛弃的人
cast-iron,kɑːst 'aɪən,adj. 铸铁的；坚固的；严格的；顽强的
cast-off,'ka:st,ɔf,adj. 废弃的；拒绝的 n. 废弃物
bait-casting,bet-'kɑːstɪŋ,n .投饵
typecasting,'taɪpkɑːstɪŋ,n. 铸字(浇铸)
die-cast,'daikɑ:st,adj. 以印模压铸的
broadcaster,'brɔːdkɑːstə(r),n. 播音员；广播电台；播种机
broadcasting,'brɔːdkɑːstɪŋ,n. 广播；广播事业 动词broadcast的现在分词形式.
rebroadcast,riː'brɔːdˌkɑːst,vt. 转播；重播 n. 转播；重播
forecast,'fɔːkɑːst,n. 预测；预报 v. 预测
forecaster,'fɔːkɑːstə(r),n. (天气)预报员；预测者
forecasting,'fɔːkɑːstɪŋ,预测
forecasted,'fɔːkɑːst,n. 预测；预报 v. 预测

spher(e)|球，圈，层
sphere,sfɪə(r),n. 范围；领域；球；球体；天体 vt. 形成球体；包围；围绕
spheric,'sferɪk,adj. 球的(面的；球形的；球状的；圆的；天体的)
spherics,'sferɪks,n. 球面几何学；球面三角学
sphericity,sfɪə'rɪsɪtɪ,n. 球状；球形
spherical,'sferɪkl,adj. 球的；球面的；球状的
spherule,'sferjuːl,n. 小球；小球体
spheroid,'sfɪərɔɪd,n. 球状体；椭球体；棒球
spheroidal,sfɪ'rɔɪdəl,adj. 球状的(扁球体的；椭球体；球状的)
ensphere,en'sfɪə,vt.  放置球中(包围； 把 ... 围入圈内)
exosphere,'eksəʊsfɪə(r),n. 外大气层
spheroma,sfiə'rəʊmə,球状瘤
spherometer,sfɪə'rɒmɪtə,n. 球径计
atmosphere,'ætməsfɪə(r),n. 大气；空气；气氛；气压
atmospheric,ˌætməs'ferɪk,adj. 大气的；大气层的；制造气氛的
atmospherics,ˌætməs'ferɪks,n. 大气干扰(引起天电干扰的电磁现象)；气氛
biosphere,'baɪəʊsfɪə(r),n. 生物圈
biospherian,biːəʊs'fiəriən,n. 生物圈2号居民
hemisphere,'hemɪsfɪə(r),n. 半球
hemispheric,'hemɪˌsfɪrɪk,adj. 半球形状的；半球的
hemispherical,ˌhemɪ'sferɪkl,adj. 半球形状的
stratosphere,'strætəsfɪə(r),n. 平流层；高层次；最高阶段
stratospheric,ˌstrætə'sferɪk,adj. 平流层的；同温层的；极高的
hydrosphere,'haɪdrəʊsfɪə(r),n. 水圈；水界；水气
lithosphere,'lɪθəsfɪə(r),n. 岩圈；地壳
thermosphere,'θɜːməsfɪə(r),n. 热成层；热大气层；热电离层
magnetosphere,mæg'niːtəsfɪə,n. (围绕地球或其他行星等天体的)磁层
microsphere,'maɪkrəsfɪə(r),n. 微球体；微滴
photosphere,'fəʊtəsfɪə,n. 光球；光球层
blogosphere,'blɒɡəsfɪə(r),n. 博客圈；博客世界
ionosphere,aɪ'ɒnəsfɪə(r),n. 电离层
chromosphere,'krəʊməsfɪə,n. 色球层
planisphere,'plænɪsfɪə,n. 平面球形图；平面天体图；星座一览表

carb|碳
carbon,'kɑːbən,n. 碳；复写纸；复本；碳精棒
carbonic,kɑː'bɒnɪk,adj. 碳的；含碳的
carbonize,'kɑːbənaɪz,v. 使成碳；碳化；使与碳化合
carbonized,'kɑːbənaɪzd,adj. 碳化的 v. 碳化
carbonization,ˌkɑːbənaɪ'zeɪʃn,n. 碳化；干馏；碳化物
carbon-rich,'kɑːb(ə)n-rɪtʃ,adj .富含碳的
carbon-fiber,'kɑːbənf'ɪbər,碳纤维
carbon-based,'kɑːb(ə)n-beɪst,adj.碳基材料的
carbon-dioxide,'kɑːb(ə)n-daɪ'ɒksaɪd,n.[ 无化 ]二氧化碳
carbon-free,'kɑːbənfr'iː,不含碳的
carbon-carbon,'kɑːbənk'ɑːbən,碳-碳
carbon-monoxide,'kɑːbənmɒn'ɒksaɪd,一氧化碳
carbon-14,'kɑːb(ə)n-fɔː'tiːn,n. 碳14
carbon-neutral,'kɑːb(ə)n-'njuːtr(ə)l,n.碳中和；碳平衡
all-carbon,ɔːl-'kɑːb(ə)n,n.全碳
non-carbon,nɔn-'kɑːb(ə)n,n.无碳
high-carbon,'haɪk'ɑːbən,adj. 高碳的；碳含量高的
low-carbon,'ləʊk'ɑːbən,低碳的
carbonate,'kɑːbəneɪt,n. 碳酸盐；黑金刚石 v. 使含二氧化碳
carbonated,'kɑːbəneɪtɪd,adj. 碳化的；碳酸的；含二氧化碳的 动词carbonate的过去式和过去分词形式.
carbonation,kɑːbə'neɪʃən,n. 碳酸饱和；碳酸化作用
carbonaceous,ˌkɑːbə'neɪʃəs,adj. 碳的；碳质的；含碳的
bicarbonate,ˌbaɪ'kɑːbənət,n. [化]重碳酸盐；碳酸氢盐
fluorocarbon,ˌfluːərəʊ'kɑːbən,n. [化]碳氟化合物
polycarbonate,ˌpɒli'kɑːbənət,n. 聚碳酸脂
chlorofluorocarbon,ˌklɔːrəʊ'flʊərəʊkɑːbən,n. 氟氯碳
carbohydrate,ˌkɑːbəʊ'haɪdreɪt,n. 碳水化合物；糖类
carbohydrate-rich,kɑːbə'haɪdreɪt-rɪtʃ,adj.碳水化合物丰富的
high-carbohydrate,haɪ-kɑːbə'haɪdreɪt,高糖
low-carbohydrate,ləʊ-kɑːbə'haɪdreɪt,n.低碳水化合物 ( 膳食 )
low-carb,ləʊ-kɑ:b,n.低碳水化合物
high-carb,'haɪk'ɑːrb,n. 含大量碳水化合物
hydrocarbon,ˌhaɪdrə'kɑːbən,n. 碳氢化合物
carburetor,'kɑːbjʊretə,n. 汽化器
carbureted,'kɑːbjʊretɪd,v.  使 ... 与碳化合(汽化)
carbide,'kɑːbaɪd,n. 碳化物；碳化钙
carbuncle,'kɑːbʌŋkl,n. 红玉；红水晶；痈；粉刺
carboxylic,kɑːbɒk'sɪlɪk,adj. 含羧基的
carbamazepine,kɑːbə'mæzəpiːn,n. [药]氨甲酰氮草；酰胺咪嗪；卡巴咪嗪；立痛定(一种镇痛抗惊厥药)

chem|化学
alchemy,'ælkəmi,n. 炼金术；魔力
alchemist,'ælkəmɪst,n. 炼丹术士；炼金术士
alchemical,æl'kemɪkəl,adj. 炼金术的
chemistry,'kemɪstri,n. 化学
chemist,'kemɪst,n. 化学家；药剂师；药房
chemical,'kemɪkl,adj. 化学的 n. 药品；化学物
chemically,'kemɪkli,adv. 用化学；以化学方法
nonchemical,nɔn'kemɪk(ə)l,adj .非化学的
chemical-free,'kemɪklfr'iː,adj. 不服用毒品的
chemo,'kiːməʊ,n. 化疗 abbr. 化学的（=chemical） pref. 表示“化学的”
chemotherapy,ˌkiːməʊ'θerəpi,n. 化学疗法
chemotherapeutic,ˌkeməʊˌθerə'pjuːtɪk,adj. [医]化学疗法的
chemical-weapons,'kemɪk(ə)l-'wep(ə)nz,n.化学武器
biochemistry,ˌbaɪəʊ'kemɪstri,n. 生物化学
biochemist,ˌbaɪəʊ'kemɪst,n. 生物化学家
biochemical,ˌbaɪəʊ'kemɪkl,adj. 生物化学的
biochemically,ˌbaɪəʊ'kemɪstri,n. 生物化学
geochemistry,ˌdʒiːəʊ'kemɪstrɪ,n. 地球化学
geochemist,dʒiːɒ'kemɪst,n. 地球化学工作者
geochemical,dʒiːɒ'kemɪkl,adj. 地球化学的
biogeochemistry,baɪədʒiːɒ'kemɪstrɪ,n. 生物地球(地质化学)
phytochemical,faɪtəʊ'kemɪkəl,adj. 植物化学的 n. 植物化学物质
photochemical,ˌfəʊtəʊ'kemɪkl,adj. 光化作用的；光化学的
agrochemical,ˌæɡrəʊ'kemɪkl,n. 农用化学品；农药 adj. 农用化学品的 =agrichemical.
petrochemical,ˌpetrəʊ'kemɪkl,n. 石油化学制品
immunohistochemical,'ɪmjʊnəʊhɪstəʊ'kemɪkəl,adj. 免疫组织化学的
physico-chemical,'fizə,kəu-'kemɪk(ə)l,n.物理 - 化学的生理生化 ，物化

viron|环路
environ,ɪn'vaɪərən,vt. 包围；环绕
environs,ɪn'vaɪrənz,n. 郊外；郊区 名词environ的复数形式.
environment,ɪn'vaɪrənmənt,n. 环境；外界
environmental,ɪnˌvaɪrən'mentl,adj. 环境的；有关环境的
environmentalist,ɪnˌvaɪrən'mentəlɪst,n. 环保人士；环境论者
environmentally,ɪnˌvaɪrən'mentəli,adv. 在环境方面地
environmentalism,ɪn,vaɪrən'mɛntlɪzəm,n. 环境保护论
microenvironment,'maɪkrəʊɪn'vaɪərənmənt,n. 小环境
pro-environment,p'rəʊenv'aɪərənmənt,环保
person-environment,'pɜːs(ə)n-ɪnˈvaɪrənmənt,ad j.人与环境的
environment-friendly,en'vaɪərənməntfr'endlɪ,有利于环境的
environmental-impact,ɪnvaɪrən'ment(ə)l-'ɪmpækt,n.环境冲击，环境影响
pro-environmental,prəu-ɪnvaɪrən'ment(ə)l,adj.支持环保的
anti-environmental,'æntiin,vaiərən'mentəl,adj.（以对比、反衬突出实际环境特征的）反环境艺术品
agro-environmental,'æɡrəu,vaiərən'mentəl,adj.农业环境的
social-environmental,'səʊʃ(ə)l-ɪnvaɪrən'ment(ə)l,adj .社会环境的
person-in-environment,'pɜːs(ə)n-ɪn-ɪnˈvaɪrənmənt,n.人在环境中人在情境中

plain,plaint|打
complain,kəm'pleɪn,vi. 抱怨；控诉；诉说
complainer,kəm'pleɪnə,n. 抱怨者
complainant,kəm'pleɪnənt,n. 原告 = plaintiff(英).
complaining,kəm'pleɪnɪŋ,adj. 抱怨的 动词complain的现在分词形式.
complainingly,kəmp'leɪnɪŋlɪ,adv. 诉苦地；抱怨地
uncomplainingly,ˌʌnkəm'pleɪnɪŋ,adj. 没有怨言的；忍受痛苦的；顺从的
complaint,kəm'pleɪnt,n. 抱怨；疾病；诉苦；控告；投诉
plaint,pleɪnt,n. 起诉；诉状；悲叹；诉苦
plainer,'pleɪnə,n. 抱怨者 =complainer.
plaintive,'pleɪntɪv,adj. 哀伤的；可怜的
plaintively,'pleɪntɪvli,adv. 可怜地；悲伤地
plaintiff,'pleɪntɪf,n. 原告

tect,teg|掩盖，掩护
protect,prə'tekt,v. 保护；投保
protecting,prə'tekt,v. 保护；投保
protected,prə'tektɪd,adj. 受保护的 动词protect的过去式和过去分词形式.
unprotected,ˌʌnprə'tektɪd,adj. 无保护的；未做防护措施的
protectant,prə'tektənt,n. 防护剂
protective,prə'tektɪv,adj. 保护的；防卫的
protectively,prə'tektɪv,adj. 保护的；防卫的
protectiveness,prə'tektɪv,adj. 保护的；防卫的
self-protective,'selfprət'ektɪv,adj. 自保护式的
overprotect,ˌəʊvəprə'tekt,v. 过分地保护
overprotective,ˌəʊvəprə'tekt,v. 过分地保护
protection,prə'tekʃn,n. 保护；防卫
protectionist,prə'tekʃənɪst,n. 保护贸易论者 adj. 保护贸易论的
protectionism,prə'tekʃənɪzəm,n. 贸易保护主义
self-protection,'selfprə'tekʃən,n. 自卫；自我保护
overprotection,'əʊvəprə'tekʃən,n. 过度保护
protector,prə'tektə(r),n. 保护人；保护物；保护装置
protectress,prə'tektrəs,n. protector 女性
protectorate,prə'tektərət,n. 摄政；受保护国；护民官之职
well-protected,wel-prə'tektɪd,adj .受到良好保护的
password-protected,'pɑːswɜːdprət'ektɪd,adj. 密码保护的
copy-protection,'kɒpiːprət'ekʃn,n. 拷贝保护
child-protection,tʃaɪld-prə'tekʃ(ə)n,n.儿童保护
equal-protection,'i:kwəl-prə'tekʃ(ə)n,n.平等保护
witness-protection,ˈwɪtnɪs-prə'tekʃ(ə)n,n.火线人生（电影名） ；捍卫证据（电影名）
consumer-protection,kən'sjuːmə-prə'tekʃ(ə)n,n.消费者保护
detect,dɪ'tekt,v. 发觉；察觉；探测
detector,dɪ'tektə(r),n. 探测器
detective,dɪ'tektɪv,n. 侦探 adj. 侦探的
detection,dɪ'tekʃn,n. 探测；侦查；察觉；发觉
